WBGeneID,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00000007,Direct,SET6,Increasing,ClassA
WBGene00000007,Direct,SET6,Increasing,ClassA
WBGene00000008,Direct,SET6,Increasing,ClassA
WBGene00000009,Indirect,SET3,Not_Changing,NA
WBGene00000013,Indirect,SET1,Not_Bound,NA
WBGene00000016,Indirect,SET1,Not_Bound,NA
WBGene00000017,Indirect,SET1,Not_Bound,NA
WBGene00000020,Indirect,SET2,Not_Bound,NA
WBGene00000022,Indirect,SET2,Increasing,NA
WBGene00000033,Indirect,SET1,Not_Bound,NA
WBGene00000034,Indirect,SET2,Not_Bound,NA
WBGene00000044,Indirect,SET6,L3_High,NA
WBGene00000058,Indirect,SET6,Not_Bound,NA
WBGene00000064,Direct,SET2,L3_High,ClassD
WBGene00000064,Direct,SET2,L3_High,ClassD
WBGene00000066,Indirect,SET5,Not_Changing,NA
WBGene00000067,Direct,SET2,Larval,ClassC
WBGene00000067,Direct,SET2,Increasing,ClassC
WBGene00000081,Direct,SET6,Increasing,ClassA
WBGene00000081,Direct,SET6,L3_High,ClassA
WBGene00000083,Indirect,SET6,Not_Bound,NA
WBGene00000084,Indirect,SET3,Increasing,NA
WBGene00000088,Indirect,SET2,Larval,NA
WBGene00000088,Indirect,SET2,Increasing,NA
WBGene00000107,Direct,SET6,Increasing,ClassA
WBGene00000107,Direct,SET6,Increasing,ClassA
WBGene00000109,Indirect,SET6,Increasing,NA
WBGene00000109,Indirect,SET6,Embryo_Specific,NA
WBGene00000109,Indirect,SET6,L3_High,NA
WBGene00000136,Direct,SET6,Increasing,ClassA
WBGene00000136,Direct,SET6,Larval,ClassA
WBGene00000136,Direct,SET6,Increasing,ClassA
WBGene00000139,Indirect,SET6,Not_Bound,NA
WBGene00000144,Indirect,SET2,Not_Bound,NA
WBGene00000172,Direct,SET3,Increasing,ClassB
WBGene00000172,Direct,SET3,Increasing,ClassB
WBGene00000172,Direct,SET3,Increasing,ClassB
WBGene00000200,Indirect,SET2,Increasing,NA
WBGene00000200,Indirect,SET2,L3_High,NA
WBGene00000208,Indirect,SET2,L3_High,NA
WBGene00000208,Indirect,SET2,Increasing,NA
WBGene00000208,Indirect,SET2,Increasing,NA
WBGene00000212,Direct,SET3,Larval,ClassB
WBGene00000212,Direct,SET3,Increasing,ClassB
WBGene00000213,Indirect,SET6,Increasing,NA
WBGene00000213,Indirect,SET6,Larval,NA
WBGene00000214,Direct,SET6,Larval,ClassA
WBGene00000214,Direct,SET6,Increasing,ClassA
WBGene00000214,Direct,SET6,Larval,ClassA
WBGene00000214,Direct,SET6,Larval,ClassA
WBGene00000215,Direct,SET6,Increasing,ClassA
WBGene00000215,Direct,SET6,Increasing,ClassA
WBGene00000216,Direct,SET3,Larval,ClassB
WBGene00000216,Direct,SET3,Increasing,ClassB
WBGene00000216,Direct,SET3,Increasing,ClassB
