Gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
2L52.1,77.32622068,0.152297131,0.152866842,0.337069035,0,1,1
B0218.2,7102.736482,6.834180571,6.837227222,0.116935953,55.87828539,0,0
2RSSE.2,19.58177763,1.01221976,1.020540278,0.49603168,1.435835227,0.151049233,0.187779004
3R5.1,42.85794031,-2.488205469,-2.502199415,0.412361927,-5.306516737,1.12E-07,2.41E-07
4R79.2,1.577932145,-3.036908667,-3.420050326,1.757170757,-1.557565567,0.119336266,0.150993356
B0365.6,3540.607759,4.483042473,4.484657951,0.105099296,39.80086104,0,0
C01B10.6,10944.90527,5.834723247,5.836150147,0.08656124,63.93997219,0,0
AC3.5,237.0122546,-9.286990028,-9.686685731,1.0768906,-8.345313839,7.10E-17,2.24E-16
AC3.6,2.172338548,2.023160379,2.158214573,1.343333882,1.282749138,0.199579978,0.24207444
C03G6.15,17229.61226,5.774849122,5.777404056,0.116447918,47.01543147,0,0
C04F6.1,779765.7772,3.839236053,3.839853474,0.070220156,50.40199644,0,0
AC7.1,2.720033235,-3.852588599,-4.202303513,1.534923184,-2.314505791,0.020639994,0.029247671
AC7.2,181.5338144,0.415900394,0.416523639,0.213716028,0.542310256,0.587604792,0.649808022
C05D2.8,4078.773478,5.430829523,5.432969366,0.109984717,46.65038619,0,0
C05E4.9,43382.17191,5.564561418,5.567633827,0.130067868,40.4754957,0,0
C06B3.3,6221.878003,6.01925397,6.022423795,0.126895066,45.07073568,0,0
C06G3.5,1757.473191,3.740282177,3.74129001,0.090863748,37.86198862,0,0
C06G8.3,1560.101883,5.558292718,5.561347667,0.129917077,40.47422287,0,0
C08F11.13,6299.703436,8.94481015,8.95529067,0.188280844,45.9144434,0,0
AH10.1,7.621288618,-2.412663437,-2.570512844,1.313255757,-1.608722007,0.107677141,0.1372352
AH10.3,5.020746089,0.092915022,0.095570702,0.908092499,0,1,1
AH6.2,2.154035613,-3.36974065,-3.856268089,1.851256848,-1.658192732,0.097278571,0.124884886
AH6.3,2.931572594,-2.262264873,-2.500733902,1.684790442,-1.164693735,0.244142986,0.289780748
AH6.5,1647.338661,-8.364868594,-8.39658701,0.338099114,-23.85356325,9.30E-126,2.12E-124
AH9.1,2.661163196,1.115789065,1.190493459,1.347200086,0.605544101,0.544817531,0.605920913
AH9.2,82.55118808,-0.726250696,-0.727727816,0.248573623,-1.714786511,0.086384375,0.111954824
C08F11.8,20630.67212,5.388555477,5.390347742,0.100956,50.40369566,0,0
AH9.6,1.526574804,-2.950329608,-3.359528345,1.82146706,-1.455052176,0.145654818,0.1816351
C10G11.5,3831.502921,3.371940188,3.372675175,0.081722302,37.58998598,0,0
B0001.2,646.7318602,-7.162158597,-7.193914421,0.364550949,-18.82359275,4.84E-79,5.58E-78
B0001.3,303.6348164,-2.048494494,-2.050018779,0.150723867,-11.6006478,4.09E-31,1.86E-30
B0001.4,258.3943133,-2.4375903,-2.440027043,0.175158089,-12.20377721,2.97E-34,1.45E-33
B0001.5,228.5495742,-2.25726539,-2.260225245,0.200255574,-9.773837245,1.46E-22,5.36E-22
C17C3.1,2314.158946,4.233013984,4.234454499,0.102187998,38.48802286,0,0
B0001.7,297.5425304,-6.537416337,-6.58042125,0.443554235,-14.06235323,6.47E-45,3.92E-44
B0001.8,222.6893367,-3.532453915,-3.538268801,0.224388898,-14.40558755,4.77E-47,3.03E-46
B0019.1,33.35936808,-4.599487755,-4.684133843,0.736424224,-5.838330154,5.27E-09,1.23E-08
B0019.2,197.4451368,-1.760487228,-1.76255079,0.189371329,-7.712293268,1.24E-14,3.61E-14
B0024.1,76.108063,-6.348787441,-6.579746892,0.991282029,-6.101984362,1.05E-09,2.51E-09
B0024.10,237.2339868,-2.467666034,-2.470353796,0.18246981,-11.8795873,1.51E-32,7.11E-32
B0024.11,267.0008662,-3.365655993,-3.370610432,0.212197252,-14.44719934,2.61E-47,1.67E-46
B0024.12,19.34353792,0.08235619,0.083048751,0.505455503,0,1,1
B0024.13,178.7528819,-1.393451764,-1.394895607,0.178328925,-6.131656802,8.70E-10,2.10E-09
C17G1.3,1497.212671,4.740593652,4.742162158,0.100720461,44.08829736,0,0
B0024.2,11.1750514,-5.908385359,-6.239727273,1.242391169,-4.514186432,6.36E-06,1.23E-05
B0024.3,4.347682213,-1.01807143,-1.054376193,0.996177238,-0.72082698,0.471015974,0.529750988
C17G10.5,13939.05879,5.460198255,5.46241173,0.111452816,46.29939754,0,0
C23H5.8,4699.097076,4.630991964,4.632584115,0.102695431,42.17317112,0,0
C24G6.6,9012.702658,5.501011179,5.503028592,0.10595969,49.08480952,0,0
B0025.2,733.0003987,-0.184486397,-0.184581777,0.125855356,0,1,1
B0025.4,115.0540818,-1.946917043,-1.950575968,0.239507494,-6.876265194,6.14E-12,1.62E-11
B0025.5,5.49911626,-4.648766979,-5.213053488,1.732729103,-2.509778921,0.012080677,0.01761065
B0034.1,4.22511598,-4.495589478,-4.834759512,1.417245397,-2.960383211,0.003072566,0.004780796
B0034.3,115.2245778,-7.555319877,-7.80316794,0.937632792,-7.737911836,1.01E-14,2.96E-14
B0035.1,604.8240866,-1.67978864,-1.680465013,0.110993087,-12.43130247,1.77E-35,8.88E-35
B0035.10,15.64977752,-1.414932331,-1.431282582,0.585838154,-1.903140524,0.057022211,0.076131419
B0035.11,499.0575893,-2.669810943,-2.671327652,0.131922026,-17.96372456,3.75E-72,3.88E-71
B0035.12,746.8499288,-2.986387254,-2.989575064,0.180515359,-14.8817656,4.33E-50,2.93E-49
C26B9.5,2605.11723,4.304764723,4.306181085,0.100383632,39.89459864,0,0
C36A4.1,1161.717926,4.464070094,4.465833317,0.109944884,37.87415955,0,0
B0035.15,188.3674956,-2.21598761,-2.219459762,0.219815958,-8.716326273,2.87E-18,9.41E-18
B0035.16,37.11550031,-0.511480852,-0.513406674,0.338738898,-0.624318179,0.532418647,0.593546827
B0035.18,35.36511283,-3.119074949,-3.149379903,0.539645986,-5.223933881,1.75E-07,3.74E-07
B0035.2,227.1848395,-1.215236219,-1.216642939,0.187956741,-4.869398209,1.12E-06,2.27E-06
B0035.3,274.3761081,-1.857389971,-1.859041867,0.164809771,-9.449621587,3.40E-21,1.20E-20
B0035.4,313.1490925,-1.158955934,-1.160041243,0.169229034,-5.075700738,3.86E-07,8.09E-07
B0035.5,742.5488598,0.438080043,0.43824674,0.108049341,1.277935074,0.20127232,0.243759022
B0035.6,462.4925353,-4.129427144,-4.134056579,0.185573586,-20.63562611,1.31E-94,1.92E-93
B0035.7,13.14136409,-2.817216137,-2.871212553,0.744407255,-3.381504036,0.000720902,0.001191449
B0035.8,24.30099342,-3.046886035,-3.080313366,0.571789785,-4.804013828,1.56E-06,3.13E-06
B0035.9,8.908794852,-5.55753237,-5.918605976,1.327483217,-3.960526433,7.48E-05,0.000134633
B0041.11,27.7261891,-5.494047913,-5.702668959,1.00879954,-5.148741356,2.62E-07,5.55E-07
B0041.2,1097.139362,-0.331809056,-0.331991657,0.129735022,-0.245184808,0.806313339,0.869975989
B0041.3,28.91652847,-0.690157047,-0.695375296,0.480722376,-0.811605754,0.417017888,0.473662081
C42D4.1,20674.8597,5.225770471,5.227764682,0.108159651,45.54166394,0,0
B0041.5,499.6877074,-0.104720072,-0.104773648,0.125239979,0,1,1
C42D8.2,922256.8466,3.496544485,3.497092346,0.069312625,46.11778121,0,0
B0041.7,1034.942824,-1.132729786,-1.133109017,0.101325737,-8.218344237,2.06E-16,6.39E-16
B0041.8,344.6328366,-3.72832044,-3.735294255,0.240375665,-14.26234407,3.76E-46,2.34E-45
B0047.1,2.267511115,-0.983463816,-1.051432107,1.364050928,-0.501054471,0.616332788,0.679291008
B0047.2,3.98165024,-3.496890838,-3.727943904,1.358336597,-2.353533612,0.018595927,0.026512169
B0047.3,14.13924535,-6.233137721,-6.577367449,1.23376728,-4.808960182,1.52E-06,3.06E-06
B0198.1,7.20608194,-5.279927508,-5.612698962,1.309534494,-3.802822707,0.000143057,0.000251314
B0198.2,5.120679292,-1.280871808,-1.328669112,1.012674651,-0.968595202,0.332747198,0.385022729
B0198.3,6.659803165,-5.166615011,-5.497989158,1.319734192,-3.687572119,0.000226404,0.000391315
B0205.1,313.7127724,-4.236430514,-4.244181101,0.235976281,-16.68146686,1.79E-62,1.56E-61
B0205.10,8.965964682,-5.323644424,-5.919336428,1.677496052,-2.994728016,0.002746897,0.00429301
B0205.11,314.5427021,-0.384492993,-0.384773306,0.149581204,-0.564863706,0.572166471,0.633996233
B0205.12,34.67581786,-0.155760601,-0.156412718,0.357042719,0,1,1
C49C3.4,6244.403451,4.035361069,4.036497152,0.092876067,40.21876866,0,0
B0205.3,1108.90787,-0.870658715,-0.870933564,0.098339654,-5.802935978,6.52E-09,1.51E-08
B0205.6,319.6831472,-0.108149957,-0.108230822,0.151497774,0,1,1
B0205.7,2216.542566,0.268879392,0.268955369,0.093129307,0,1,1
