WBGeneID,Public_name
WBGene00000005,aat-4
WBGene00000007,aat-6
WBGene00000040,aco-1
WBGene00000067,act-5
WBGene00000073,add-2
WBGene00000084,aex-1
WBGene00000088,aex-5
WBGene00000097,aip-1
WBGene00000098,air-1
WBGene00000107,alh-1
WBGene00000109,alh-3
WBGene00000111,alh-5
WBGene00000116,alh-10
WBGene00000117,alh-11
WBGene00000118,alh-12
WBGene00000121,aly-2
WBGene00000122,aly-3
WBGene00000136,amt-4
WBGene00000139,amx-3
WBGene00000150,apm-1
WBGene00000151,apn-1
WBGene00000159,aps-1
WBGene00000169,aqp-1
WBGene00000172,aqp-4
WBGene00000177,aqp-9
WBGene00000178,aqp-10
WBGene00000179,aqp-11
WBGene00000181,ard-1
WBGene00000182,arf-1.2
WBGene00000189,arl-5
WBGene00000190,arf-1.1
WBGene00000202,exos-4.2
WBGene00000203,arx-5
WBGene00000209,asg-1
WBGene00000211,asm-1
WBGene00000212,asm-2
WBGene00000214,asp-1
WBGene00000215,asp-2
WBGene00000216,asp-3
WBGene00000218,asp-5
WBGene00000219,asp-6
WBGene00000221,atf-4
WBGene00000222,atf-6
WBGene00000235,baf-1
WBGene00000236,bag-1
WBGene00000239,bas-1
WBGene00000263,F23H11.5
WBGene00000266,bre-1
WBGene00000281,cah-3
WBGene00000282,cah-4
WBGene00000286,cal-2
WBGene00000293,cap-2
WBGene00000298,cat-4
WBGene00000302,cav-2
WBGene00000371,cox-5B
WBGene00000373,cyp-14A5
WBGene00000377,cct-1
WBGene00000378,cct-2
WBGene00000381,cct-6
WBGene00000390,cdc-42
WBGene00000391,cdd-1
WBGene00000392,cdd-2
WBGene00000397,cdh-5
WBGene00000412,cdr-1
WBGene00000419,ced-5
WBGene00000458,ceh-37
WBGene00000461,ceh-40
WBGene00000515,ckc-1
WBGene00000516,cki-1
WBGene00000522,clc-1
WBGene00000534,cpi-2
WBGene00000535,cpi-1
WBGene00000536,clk-1
WBGene00000539,cln-3.1
WBGene00000541,cln-3.3
WBGene00000550,clu-1
WBGene00000557,cnc-3
WBGene00000558,cnc-4
WBGene00000637,col-61
