"","LE_1","LE_2","L1_1","L1_2","L3_1","L3_2","LE_IDR","L1_IDR","L3_IDR","summit_agreement","k4cluster","k11cluster","k4weights","k11weights","LE_nonNormed","L1_nonNormed","L3_nonNormed","LE_std","L1_std","L3_std","name","k4labels","variance","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest"
"ELT2peak00001",1.932886,1.599462,4.253989,3.773996,4.884864,5.012244,0,1,1,23.375,4,10,"0.967","1.000","1.766","4.014","4.949","-1.107","0.268","0.839","ELT2peak00001","Increasing",2.67560594510408,"ELT2peak00001","WBGene00022277",4116,10230,"-","overlapEnd",3219,102,"Overlapping"
"ELT2peak00002",2.106915,1.941106,4.049631,4.456806,4.94996,5.939312,0,1,1,9,4,10,"0.996","1.000","2.024","4.253","5.445","-1.085","0.199","0.885","ELT2peak00002","Increasing",3.01492046297008,"ELT2peak00002","WBGene00022276",11495,16837,"+","overlapStart",-2758,263,"Overlapping"
"ELT2peak00003",1.222392,1.530515,2.613532,2.847997,2.447459,2.862497,0,0,1,133,2,6,"0.535","1.000","1.376","2.731","2.655","-1.153","0.626","0.527","ELT2peak00003","Post-embryonic",0.579087795900583,"ELT2peak00003","WBGene00022276",11495,16837,"+","inside",46,1965,"Overlapping"
"ELT2peak00004",1.807355,1.415037,2.735522,3.280956,4.184424,4.491853,0,0,1,4,4,10,"0.898","1.000","1.611","3.008","4.338","-1.008","0.016","0.992","ELT2peak00004","Increasing",1.85942953704258,"ELT2peak00004","WBGene00022276",11495,16837,"+","inside",1253,1179,"Overlapping"
"ELT2peak00005",2.222393,2.165059,2.244887,2.134878,4.019001,4.097713,1,1,1,19.7777777777774,3,9,"0.989","1.000","2.194","2.190","4.058","-0.576","-0.579","1.155","ELT2peak00005","L3-high",1.16134341596725,"ELT2peak00005","WBGene00022276",11495,16837,"+","overlapEnd",2922,135,"Overlapping"
"ELT2peak00011",1.894818,2.103093,3.43296,2.847997,3.417085,3.534922,0,0,1,260,4,8,"0.895","1.000","1.999","3.140","3.476","-1.127","0.347","0.780","ELT2peak00011","Increasing",0.599553763243,"ELT2peak00011","WBGene00021681",96544,108223,"-","overlapStart",-6288,156,"Overlapping"
"ELT2peak00012",1.721963,1.559427,1.655352,1.695994,3.166277,4.042406,1,0,1,38.5,3,9,"0.994","1.000","1.641","1.676","3.604","-0.593","-0.562","1.155","ELT2peak00012","L3-high",1.26281553672308,"ELT2peak00012","WBGene00004418",111038,112417,"+","overlapStart",-845,262,"Overlapping"
"ELT2peak00013",1.521953,1.304006,1.847997,2.526069,3.617384,3.862497,0,0,1,73.5,3,11,"0.550","1.000","1.413","2.187","3.740","-0.872","-0.219","1.091","ELT2peak00013","L3-high",1.40423800332325,"ELT2peak00013","WBGene00000253",146486,154850,"-","inside",-3408,435,"Overlapping"
"ELT2peak00014",1.473931,1.415038,2.43296,2.695994,2.506353,3.617384,0,0,1,1.5,4,10,"0.977","1.000","1.444","2.564","3.062","-1.101","0.251","0.851","ELT2peak00014","Increasing",0.686285417964083,"ELT2peak00014","WBGene00018958",171340,175989,"+","overlapStart",-2360,312,"Overlapping"
"ELT2peak00015",0.106915,0.13493,0.9855,1.432959,2.032422,2.447459,0,0,1,16.5,4,10,"0.901","1.000","0.121","1.209","2.240","-1.009","0.018","0.991","ELT2peak00015","Increasing",1.12283576268233,"ELT2peak00015","WBGene00018958",171340,175989,"+","inside",767,1193,"Overlapping"
"ELT2peak00016",1.506185,1.929611,2.695994,2.613532,2.032422,1.862497,1,0,0,104,2,5,"0.805","1.000","1.718","2.655","1.947","-0.796","1.122","-0.326","ELT2peak00016","Post-embryonic",0.238448791936583,"ELT2peak00016","WBGene00000227",183364,208465,"+","overlapStart",-13113,481,"Overlapping"
"ELT2peak00017",2.129283,2.263034,2.847997,1.695994,4.184424,4.964035,1,0,1,48.25,3,9,"0.996","1.000","2.196","2.272","4.574","-0.605","-0.549","1.154","ELT2peak00017","L3-high",1.82687572039433,"ELT2peak00017","WBGene00016906",305811,311130,"-","overlapStart",-2457,233,"Overlapping"
"ELT2peak00020",0.622,0.649503,2.049631,1.526069,2.669852,2.92139,0,0,1,84.5,4,10,"0.932","1.000","0.636","1.788","2.796","-1.022","0.045","0.977","ELT2peak00020","Increasing",1.16799493319558,"ELT2peak00020","WBGene00020089",373571,379073,"-","overlapStart",-3238,454,"Overlapping"
"ELT2peak00021",0.549967,0.584963,2.43296,2.333424,1.540568,2.095157,0,0,1,100,2,6,"0.952","1.000","0.567","2.383","1.818","-1.100","0.854","0.246","ELT2peak00021","Post-embryonic",0.86332598168425,"ELT2peak00021","WBGene00004143",379071,381902,"-","overlapStart",-1158,86,"Overlapping"
"ELT2peak00022",1.959358,2.152003,1.655352,1.811471,3.801096,4.135515,1,0,1,39,3,7,"0.918","1.000","2.056","1.733","3.968","-0.439","-0.706","1.144","ELT2peak00022","L3-high",1.45945714837033,"ELT2peak00022","WBGene00006385",382648,388564,"+","overlapStart",-2978,398,"Overlapping"
"ELT2peak00025",3.222393,3,1.695994,1.695994,1.254814,1.447459,0,0,1,54,1,1,"0.817","1.000","3.111","1.696","1.351","1.135","-0.383","-0.752","ELT2peak00025","LE-specific",0.869922669152083,"ELT2peak00025","WBGene00021733",398891,412915,"+","inside",-5121,1531,"Overlapping"
"ELT2peak00026",2.222392,1.736966,1.9855,1.526069,1.447459,1.669851,1,0,0,210,0,0,"0.000","0.000","1.980","1.756","1.559","1.021","-0.042","-0.978","ELT2peak00026","Not-changing or not IDR-passing",0.0443749992460833,"ELT2peak00026","WBGene00021733",398891,412915,"+","inside",3187,2891,"Overlapping"
"ELT2peak00029",2.052467,2.263035,2.526069,2.526069,2.769387,2.562936,1,0,0,60.5,0,0,"0.000","0.000","2.158","2.526","2.666","-1.113","0.290","0.823","ELT2peak00029","Not-changing or not IDR-passing",0.0689608823650834,"ELT2peak00029","WBGene00006593",443999,461605,"+","overlapStart",-8768,742,"Overlapping"
"ELT2peak00030",2.845323,3.260063,3.011496,2.818851,3.254814,3.184425,1,1,1,7.66666666666667,0,0,"0.000","0.000","3.053","2.915","3.220","-0.064","-0.966","1.031","ELT2peak00030","Not-changing or not IDR-passing",0.0232439060330834,"ELT2peak00030","WBGene00021026",461995,462651,"+","overlapStart",-502,203,"Overlapping"
"ELT2peak00031",2.651236,2.668794,2.049631,2.169925,3.720477,4.097713,1,0,1,9.875,3,7,"0.786","1.000","2.660","2.110","3.909","-0.253","-0.849","1.102","ELT2peak00031","L3-high",0.850083878176333,"ELT2peak00031","WBGene00021024",488607,489905,"+","overlapStart",-816,131,"Overlapping"
"ELT2peak00032",1.907519,2.387023,2.655352,3.198494,5.630681,6.334171,1,0,1,14.375,3,9,"0.888","1.000","2.147","2.927","5.982","-0.759","-0.374","1.133","ELT2peak00032","L3-high",4.108728283023,"ELT2peak00032","WBGene00001814",489969,496150,"+","overlapStart",-3032,328,"Overlapping"
"ELT2peak00033",1.5025,1.036526,2.613532,1.9855,3.562936,4.288761,0,0,1,18,4,11,"0.568","1.000","1.270","2.300","3.926","-0.917","-0.148","1.066","ELT2peak00033","Increasing",1.79366364485425,"ELT2peak00033","WBGene00001814",489969,496150,"+","overlapEnd",3019,635,"Overlapping"
"ELT2peak00034",0.485427,0.714598,2.43296,1.695994,2.447459,3.254814,0,0,1,162,4,10,"0.996","1.000","0.600","2.064","2.851","-1.084","0.198","0.886","ELT2peak00034","Increasing",1.30517478401275,"ELT2peak00034","WBGene00022037",511052,519800,"-","inside",1354,2493,"Overlapping"
"ELT2peak00035",2.203777,2.242857,2.773996,2.695994,6.022368,6.630681,1,0,1,31.75,3,9,"0.976","1.000","2.223","2.735","6.327","-0.688","-0.459","1.147","ELT2peak00035","L3-high",4.99953505218508,"ELT2peak00035","WBGene00022037",511052,519800,"-","inside",-1385,2610,"Overlapping"
"ELT2peak00036",3.138561,3.168397,3.735522,4.155425,7.374249,7.65366,1,1,1,77.7777777777713,3,9,"0.920","1.000","3.153","3.945","7.514","-0.739","-0.398","1.138","ELT2peak00036","L3-high",5.39584308691525,"ELT2peak00036","WBGene00022037",511052,519800,"-","inside",-3068,950,"Overlapping"
"ELT2peak00037",2.465249,2.213404,2.41684,3.280956,4.254814,4.74514,1,1,1,32.1666666666667,3,9,"0.825","1.000","2.339","2.849","4.500","-0.788","-0.337","1.125","ELT2peak00037","L3-high",1.27568926016725,"ELT2peak00037","WBGene00022042",535791,536670,"+","overlapStart",-682,166,"Overlapping"
"ELT2peak00038",2.598259,2.525461,2.705978,3.049631,5.79717,5.98834,1,1,1,41.5555555555426,3,9,"0.990","1.000","2.562","2.878","5.893","-0.661","-0.489","1.150","ELT2peak00038","L3-high",3.38076815759258,"ELT2peak00038","WBGene00007009",537122,542200,"+","overlapStart",-2661,254,"Overlapping"
"ELT2peak00039",1.609416,1.521953,2.9855,3.049631,2.949959,3.386058,0,0,1,9.5,4,8,"0.668","1.000","1.566","3.018","3.168","-1.151","0.490","0.660","ELT2peak00039","Increasing",0.783005622564333,"ELT2peak00039","WBGene00007009",537122,542200,"+","inside",-164,1325,"Overlapping"
"ELT2peak00040",1.959358,1.591915,2.613532,2.43296,2.23173,2.321928,1,0,1,121.75,2,6,"0.963","1.000","1.776","2.523","2.277","-1.093","0.870","0.223","ELT2peak00040","Post-embryonic",0.145139204072583,"ELT2peak00040","WBGene00007009",537122,542200,"+","overlapEnd",3104,394,"Overlapping"
"ELT2peak00042",1.653027,1.16711,3.480265,3.526069,3.964035,4.753267,0,0,1,5.5,4,10,"0.964","1.000","1.410","3.503","4.359","-1.108","0.272","0.836","ELT2peak00042","Increasing",2.30117549404408,"ELT2peak00042","WBGene00004235",550696,556638,"+","overlapStart",-3011,271,"Overlapping"
"ELT2peak00043",1.010888,0.540568,3.169925,2.695994,4.07195,4.617384,0,0,1,5.5,4,10,"0.994","1.000","0.776","2.933","4.345","-1.062","0.138","0.924","ELT2peak00043","Increasing",3.23064856597825,"ELT2peak00043","WBGene00022040",562736,565181,"+","overlapStart",-1270,200,"Overlapping"
