LE_1,LE_2,L1_1,L1_2,L3_1,L3_2,LE_IDR,L1_IDR,L3_IDR,summit_agreement,k4cluster,k11cluster,k4weights,k11weights,LE_nonNormed,L1_nonNormed,L3_nonNormed,LE_std,L1_std,L3_std,name,cluster.description,variance,peak,WBGeneID,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest
1.932886,1.599462,4.253989,3.773996,4.884864,5.012244,0,1,1,27.375,4,8,0.846,1.000,1.766,4.014,4.949,-1.107,0.268,0.839,ELT2peak00001,Increasing,2.675605945104083,ELT2peak00001,WBGene00022277,4116,10230,-,overlapEnd,3217,106,Overlapping
2.106915,1.941106,4.049631,4.456806,4.94996,5.939312,0,1,1,12.375,4,10,0.932,1.000,2.024,4.253,5.445,-1.085,0.199,0.885,ELT2peak00002,Increasing,3.014920462970083,ELT2peak00002,WBGene00022276,11495,16837,+,overlapStart,-2878,38,Overlapping
1.222392,1.530515,2.613532,2.847997,2.447459,2.862497,0,0,1,137,2,7,0.843,1.000,1.376,2.731,2.655,-1.153,0.626,0.527,ELT2peak00003,Larval,0.5790877959005833,ELT2peak00003,WBGene00022276,11495,16837,+,inside,59,1947,Overlapping
1.807355,1.415037,2.735522,3.280956,4.184424,4.491853,0,0,1,2.5,4,10,0.988,1.000,1.611,3.008,4.338,-1.008,0.016,0.992,ELT2peak00004,Increasing,1.8594295370425824,ELT2peak00004,WBGene00022276,11495,16837,+,inside,1247,1190,Overlapping
2.222393,2.165059,2.244887,2.134878,4.019001,4.097713,1,1,1,10,3,9,0.991,1.000,2.194,2.190,4.058,-0.576,-0.579,1.155,ELT2peak00005,L3_High,1.1613434159672502,ELT2peak00005,WBGene00022276,11495,16837,+,overlapEnd,2928,131,Overlapping
1.894818,2.103093,3.43296,2.847997,3.417085,3.534922,0,0,1,123.5,4,8,0.705,1.000,1.999,3.140,3.476,-1.127,0.347,0.780,ELT2peak00011,Increasing,0.5995537632430001,ELT2peak00011,WBGene00021681,96544,108223,-,overlapStart,-6296,133,Overlapping
1.721963,1.559427,1.655352,1.695994,3.166277,4.042406,1,0,1,28.25,3,9,0.985,1.000,1.641,1.676,3.604,-0.593,-0.562,1.155,ELT2peak00012,L3_High,1.262815536723083,ELT2peak00012,WBGene00004418,111038,112417,+,overlapStart,-872,217,Overlapping
1.521953,1.304006,1.847997,2.526069,3.617384,3.862497,0,0,1,81,4,11,0.634,1.000,1.413,2.187,3.740,-0.872,-0.219,1.091,ELT2peak00013,Increasing,1.4042380033232498,ELT2peak00013,WBGene00000253,146486,154850,-,inside,-3392,457,Overlapping
1.473931,1.415038,2.43296,2.695994,2.506353,3.617384,0,0,1,1,4,10,0.870,1.000,1.444,2.564,3.062,-1.101,0.251,0.851,ELT2peak00015,Increasing,0.6862854179640833,ELT2peak00015,WBGene00018958,171340,175989,+,overlapStart,-2459,104,Overlapping
0,0.012939,0.9855,1.432959,2.032422,2.447459,0,0,1,7,4,10,0.997,1.000,0.006,1.209,2.240,-1.025,0.051,0.973,ELT2peak00016,Increasing,1.2495649151603332,ELT2peak00016,WBGene00018958,171340,175989,+,inside,765,1217,Overlapping
