comparison	ID	cosmid_id	gene	AveExpr	t	P_Value	adj_P_Val	B	FC
LE-intestine_up_vs_LE-reference	WBGene00008163	C47F8.7	C47F8.7	7.57	13.08	0	0	35.31	13.86
LE-intestine_up_vs_LE-reference	WBGene00021252	Y22D7AL.14	Y22D7AL.14	8.21	12.6	0	0	33.6	7.3
LE-intestine_up_vs_LE-reference	WBGene00019986	R09F10.1	R09F10.1	9.29	12.28	0	0	32.4	10.67
LE-intestine_up_vs_LE-reference	WBGene00007904	C33G3.4	C33G3.4	8.16	12.09	0	0	31.72	6.89
LE-intestine_up_vs_LE-reference	WBGene00012018	T25C12.3	T25C12.3	10.14	11.57	0	0	29.78	6.25
LE-intestine_up_vs_LE-reference	WBGene00010540	K03H1.5	K03H1.5	8.43	11.31	0	0	28.78	4.15
LE-intestine_up_vs_LE-reference	WBGene00013541	Y75B8A.4	Y75B8A.4	8.31	11.2	0	0	28.37	6.28
LE-intestine_up_vs_LE-reference	WBGene00001099	K02D7.4	dsc-4	9.1	11.17	0	0	28.25	6.34
LE-intestine_up_vs_LE-reference	WBGene00003943	K09C8.1	pbo-4	8.68	11.06	0	0	27.83	5.8
LE-intestine_up_vs_LE-reference	WBGene00016760	C49A9.6	C49A9.6	8.25	10.85	0	0	27.02	5.52
LE-intestine_up_vs_LE-reference	WBGene00003877	K04E7.2	opt-2	9.25	10.8	0	0	26.82	6.01
LE-intestine_up_vs_LE-reference	WBGene00015220	B0507.3	B0507.3	8.67	10.69	0	0	26.41	7.92
LE-intestine_up_vs_LE-reference	WBGene00012144	T28H10.3	T28H10.3	10.21	10.65	0	0	26.25	6.95
LE-intestine_up_vs_LE-reference	WBGene00001819	ZK484.2	haf-9	9.09	10.6	0	0	26.03	7.05
LE-intestine_up_vs_LE-reference	WBGene00008462	E02H4.4	E02H4.4	7.77	10.56	0	0	25.89	5.59
LE-intestine_up_vs_LE-reference	WBGene00004092	F44C4.5	ppt-1	8.2	10.45	0	0	25.47	8.52
LE-intestine_up_vs_LE-reference	WBGene00011936	T22H2.6	T22H2.6	9	10.45	0	0	25.45	4.88
LE-intestine_up_vs_LE-reference	WBGene00014252	ZK1320.2	ZK1320.2	10.06	10.44	0	0	25.44	7.42
LE-intestine_up_vs_LE-reference	WBGene00002057	R04E5.10	ifd-1	8.56	10.42	0	0	25.34	6.23
LE-intestine_up_vs_LE-reference	WBGene00001476	K08C7.2	fmo-1	9.08	10.34	0	0	25.04	6.62
LE-intestine_up_vs_LE-reference	WBGene00019599	K09H11.1	K09H11.1	8.37	10.27	0	0	24.78	4.39
LE-intestine_up_vs_LE-reference	WBGene00003730	B0495.4	nhx-2	9.04	10.25	0	0	24.68	6.46
LE-intestine_up_vs_LE-reference	WBGene00002139	R12E2.4	inx-17	7.78	10.14	0	0	24.26	5.75
LE-intestine_up_vs_LE-reference	WBGene00010336	F59F4.1	F59F4.1	8.68	9.99	0	0	23.66	6.14
LE-intestine_up_vs_LE-reference	WBGene00015369	C03A7.11	ugt-51	8.11	9.99	0	0	23.66	5.41
LE-intestine_up_vs_LE-reference	WBGene00001578	R12A1.4	ges-1	8.36	9.98	0	0	23.6	6.42
LE-intestine_up_vs_LE-reference	WBGene00000789	M04G12.2	cpz-2	10.28	9.94	0	0	23.46	8.83
LE-intestine_up_vs_LE-reference	WBGene00003996	C34G6.4	pgp-2	8.98	9.93	0	0	23.44	4.89
LE-intestine_up_vs_LE-reference	WBGene00011181	R09H10.3	R09H10.3	9.66	9.82	0	0	22.98	8.73
LE-intestine_up_vs_LE-reference	WBGene00011182	R09H10.5	R09H10.5	9.29	9.81	0	0	22.94	6.32
LE-intestine_up_vs_LE-reference	WBGene00019060	F58F9.7	F58F9.7	8.81	9.81	0	0	22.94	5.14
LE-intestine_up_vs_LE-reference	WBGene00021048	W05H9.1	W05H9.1	11.25	9.75	0	0	22.7	6.65
LE-intestine_up_vs_LE-reference	WBGene00020576	T19D12.1	T19D12.1	9.53	9.68	0	0	22.45	4.74
LE-intestine_up_vs_LE-reference	WBGene00018237	F40F4.6	F40F4.6	10.42	9.68	0	0	22.43	7.46
LE-intestine_up_vs_LE-reference	WBGene00011102	R07E3.1	R07E3.1	9.56	9.66	0	0	22.33	8.29
