Sequence name	Public_name	WBGeneID	DBD				
B0238.11	B0238.11	WBGene00015075	Unknown				
C32D5.1	C32D5.1	WBGene00016310	Unknown				
C46H3.2	C46H3.2	WBGene00016725	Unknown				
C52G5.2	C52G5.2	WBGene00008260	Unknown				
Y37D8A.11	cec-7	WBGene00012551	Unknown				
T05G5.6	ech-6	WBGene00001155	Unknown				
C49A1.4	eya-1	WBGene00001377	Unknown				
H02I12.5	H02I12.5	WBGene00010353	Unknown				
C26D10.2	hel-1	WBGene00001840	Unknown				
C34C6.6	prx-5	WBGene00004194	Unknown				
R06C1.6	R06C1.6	WBGene00011060	Unknown				
K04G11.2	sel-7	WBGene00004764	Unknown				
T20F10.2	T20F10.2	WBGene00011864	Unknown				
T24C4.2	T24C4.2	WBGene00020758	Unknown				
ZK1128.6	ttll-4	WBGene00014232	Unknown				
W02D9.4	W02D9.4	WBGene00012210	Unknown				
Y62E10A.14	Y62E10A.14	WBGene00013380	Unknown				
Y66H1A.4	Y66H1A.4	WBGene00022046	Unknown				
ZC204.12	ZC204.12	WBGene00022562	Unknown				
ZK1320.3	ZK1320.3	WBGene00014253	Unknown				
F42G4.3	zyx-1	WBGene00006999	Unknown				
C30G4.4	C30G4.4	WBGene00016269	TSC-22/dip/bun				
R07B5.9	lsy-12	WBGene00045419 	AT Hook				
Y95B8A.8	Y95B8A.8	WBGene00022388	ZF - C2H2				
C54G6.1	madf-6	WBGene00016930	MADF				
F45H11.6	maf-1	WBGene00077521	bZIP				
Y38F2AL.5	nhr-236	WBGene00021417	ZF - NHR				
T10B5.10	T10B5.10	WBGene00020396	ZF - BED				
F17C11.17	zip-9	WBGene00077761	bZIP				
T25C12.1	lin-14	WBGene00003003	Unknown				
Y94H6A.11	egrh-3	WBGene00044651	ZF C2H2				
Y61A9LA.9	hpo-39	WBGene00022020	bZIP				
Y44A6D.3	Y44A6D.3	WBGene00012854	Brinker				
Y48G1C.6	Y48G1C.6	WBGene00021679	CENPB				
Y75B8A.6	Y75B8A.6	WBGene00013543	CxxC				
T24H10.7	jun-1	WBGene00012005	bZIP				
2L52.1	2L52.1	WBGene00007063	ZF - C2H2 - 1 finger				
F32A5.1	ada-2	WBGene00017967	"ZF - C2H2 - 1 finger, MYB"				
C25A1.11	aha-1	WBGene00000095	bHLH				
C41G7.5	ahr-1	WBGene00000096	bHLH				
R08B4.2	alr-1	WBGene00044330	HD - PRD				
K06A1.1	aptf-1	WBGene00019424	AP-2				
Y62E10A.17	aptf-2	WBGene00013383	AP-2				
F28C6.2	aptf-3	WBGene00009203	AP-2				
F28C6.1	aptf-4	WBGene00009202	AP-2				
T08H4.3	ast-1	WBGene00020368	WH - ETS				
K08F8.2	atf-2	WBGene00000220	bZIP - 2 domains				
T04C10.4	atf-5	WBGene00000221	bZIP				
F45E6.2	atf-6	WBGene00000222	bZIP				
C07G2.2	atf-7	WBGene00000223	bZIP				
F17A9.3	atf-8	WBGene00017535	bZIP				
ZC376.7	atfs-1	WBGene00013878	bZIP				
C44B9.4	athp-1	WBGene00008081	AT Hook x2				
H20J04.2	athp-2	WBGene00019217	AT Hook				
Y116A8C.22	athp-3	WBGene00013799	AT Hook x5				
F09G2.9	attf-2	WBGene00017317	AT Hook x3				
F54C4.3	attf-3	WBGene00018794	"ZF - C2H2 - 3 fingers, AT Hook"				
C05D10.1	attf-4	WBGene00015477	AT Hook				
T04G9.1	attf-5	WBGene00020214	AT Hook				
Y18D10A.1	attf-6	WBGene00012474	AT Hook x2				
B0019.2	B0019.2	WBGene00007094	AT Hook				
B0035.1	B0035.1	WBGene00007105	ZF - C2H2 - 2 fingers				
B0261.1	B0261.1	WBGene00015091	MYB				
B0310.2	B0310.2	WBGene00015138	ZF - C2H2 - 2 fingers				
B0336.3	B0336.3	WBGene00015143	ZF - CCCH				
B0336.7	B0336.7	WBGene00015147	ZF - THAP				
F13H6.1	bcl-11	WBGene00017430	ZF - C2H2 - 3 fingers				
Y39B6A.12	bed-1	WBGene00012674	ZF - BED				
Y47D3B.9	bed-2	WBGene00012943	ZF - BED x2				
F25H8.6	bed-3	WBGene00009133	ZF - BED				
F25D7.3	blmp-1	WBGene00003847	ZF - C2H2 - 4 fingers				
F55C5.11	bnc-1	WBGene00044791	ZF - C2H2				
C01F6.9	C01F6.9	WBGene00007223	ZF - C2H2 - 1 finger				
C02F5.12	C02F5.12	WBGene00015352	ZF - C2H2 - 1 finger				
C04F5.9	C04F5.9	WBGene00015451	ZF - C2H2 - 3 fingers				
C06E2.1	C06E2.1	WBGene00015527	ZF - C2H2 - 1 finger				
C09F5.3	C09F5.3	WBGene00015649	ZF - C2H2 - 6 fingers				
C16A3.4	C16A3.4	WBGene00015809	ZF - C2H2 - 3 fingers				
C17E4.6	C17E4.6	WBGene00007645	YL1 TF				
C27A12.2	C27A12.2	WBGene00016154	ZF - C2H2 - 6 fingers				
C27A2.7	C27A2.7	WBGene00044386	ZF - C2H2				
C28G1.4	C28G1.4	WBGene00016189	ZF - C2H2 - 5 fingers				
C34B4.2	C34B4.2	WBGene00007907	WH - Fork Head				
C34D10.2	C34D10.2	WBGene00016407	ZF - CCCH - 2 domains				
C34F6.9	C34F6.9	WBGene00007943	AT Hook				
C35D6.4	C35D6.4	WBGene00007961	ZF - CCCH - 2 domains				
C38D4.7	C38D4.7	WBGene00008007	ZF - C2H2 - 1 finger				
C46E10.8	C46E10.8	WBGene00016712	ZF - C2H2 - 1 finger				
C46E10.9	C46E10.9	WBGene00016713	ZF - C2H2 - 4 fingers				
C52E12.1	C52E12.1	WBGene00016888	ZF - C2H2 - 1 finger				
T05C1.4	camt-1	WBGene00020251	IPT/TIG				
F38B7.1	ccch-1	WBGene00009532	ZF - CCCH - 2 domains				
F38C2.5	ccch-2	WBGene00009537	ZF - CCCH - 2 domains				
W05B10.2	ccch-3	WBGene00012277	ZF - CCCH				
Y57G11C.25	ccch-5	WBGene00013319	ZF - CCCH - 2 domains				
C17G10.4	cdc-14	WBGene00000383	ZF - THAP				
D1081.8	cdc-5L	WBGene00008386	MYB - 2 domains				
D1005.3	cebp-1	WBGene00016997	bZIP				
C48E7.11	cebp-2	WBGene00016754	bZIP				
F16H11.4	ceh-1	WBGene00000428	HD - NK				
W03A3.1	ceh-10	WBGene00000435	HD - PRD				
Y38E10A.6	ceh-100	WBGene00012584	HD - POU - 10 domains				
F33D11.4	ceh-12	WBGene00000436	HD - HOX				
R13A5.5	ceh-13	WBGene00000437	HD - HOX				
F46C8.5	ceh-14	WBGene00000438	HD - LIM				
C13G5.1	ceh-16	WBGene00000439	HD - HOX				
D1007.1	ceh-17	WBGene00000440	HD - PRD				
ZC64.3	ceh-18	WBGene00000441	HD - POU				
F20D12.6	ceh-19	WBGene00000442	HD - HOX				
C27A12.5	ceh-2	WBGene00000429	HD - NK				
F31E3.1	ceh-20	WBGene00000443	HD - TALE				
T26C11.6	ceh-21	WBGene00000444	HD - CUT				
F29F11.5	ceh-22	WBGene00000445	HD - NK				
ZK652.5	ceh-23	WBGene00000446	HD - NK				
F55B12.1	ceh-24	WBGene00000447	HD - NK				
F46F3.1	ceh-27	WBGene00000449	HD - NK				
K03A11.3	ceh-28	WBGene00000450	HD - NK				
C33D12.7	ceh-30	WBGene00000451	HD - NK				
C33D12.1	ceh-31	WBGene00000452	HD - NK				
W05E10.3	ceh-32	WBGene00000453	HD - SIX				
C10G8.7	ceh-33	WBGene00000454	HD - SIX				
C10G8.6	ceh-34	WBGene00000455	HD - SIX				
C37E2.4	ceh-36	WBGene00000457	HD - PRD				
C37E2.5	ceh-37	WBGene00000458	HD - PRD				
F22D3.1	ceh-38	WBGene00000459	HD - CUT				
T26C11.7	ceh-39	WBGene00000460	HD - CUT				
F17A2.5	ceh-40	WBGene00000461	HD - TALE				
T26C11.5	ceh-41	WBGene00000462	HD - CUT				
C28A5.4	ceh-43	WBGene00000463	HD - NK				
Y54F10AM.4	ceh-44	WBGene00000464	HD - CUT				
ZK993.1	ceh-45	WBGene00022837	HD - PRD				
C17H12.9	ceh-48	WBGene00015934	HD - CUT				
F17A9.6	ceh-49	WBGene00017538	HD - CUT				
C16C2.1	ceh-5	WBGene00000430	HD - NK				
Y80D3A.3	ceh-51	WBGene00013583	HD - HOX				
C09G12.1	ceh-53	WBGene00015651	HD - PRD				
T13C5.4	ceh-54	WBGene00020485	HD - PRD				
C07E3.5	ceh-57	WBGene00007416	HD				
C07E3.6	ceh-58	WBGene00007417	HD - HOX				
K02B12.1	ceh-6	WBGene00000431	HD - POU				
F22A3.5	ceh-60	WBGene00017690	HD -TALE				
R06F6.6	ceh-62	WBGene00011069	HD - HOX				
C02F12.10	ceh-63	WBGene00045215	HD				
C34C6.8	ceh-7	WBGene00000432	HD				
ZC376.4	ceh-74	WBGene00013876	HD				
C50H2.6	ceh-75	WBGene00008242	HD - NK				
C26E1.3	ceh-79	WBGene00007749	HD				
ZK265.4	ceh-8	WBGene00000433	HD - PRD - 2 domains				
F45C12.3	ceh-81	WBGene00018434	HD				
F45C12.2	ceh-82	WBGene00018433	HD				
F45C12.15	ceh-83	WBGene00018446	HD - POU - 2 domains				
C40D2.4	ceh-84	WBGene00016557	HD				
F59H6.6	ceh-85	WBGene00019137	HD				
F42G2.6	ceh-86	WBGene00018355	HD				
F34D6.2	ceh-87	WBGene00018022	HD				
C49C3.5	ceh-88	WBGene00008195	HD - TALE				
F28H6.2	ceh-89	WBGene00009231	HD - POU				
Y65B4BR.9	ceh-9	WBGene00000434	HD - NK				
R03E1.4	ceh-90	WBGene00010995	HD				
Y66A7A.5	ceh-91	WBGene00013425	HD - 2 domains				
R04A9.5	ceh-93	WBGene00019864	HD				
T21B4.17	ceh-99	WBGene00044032	HD - HOX - 2 domains				
F52B5.5	cep-1	WBGene00000467	p53				
F43G9.11	ces-1	WBGene00000468	ZF - C2H2 - 4 fingers				
ZK909.4	ces-2	WBGene00000469	bZIP				
F33A8.3	cey-1	WBGene00000472	COLD BOX				
F46F11.2	cey-2	WBGene00000473	COLD BOX				
M01E11.5	cey-3	WBGene00000474	COLD BOX				
Y39A1C.3	cey-4	WBGene00000475	COLD BOX				
T23D8.8	cfi-1	WBGene00000476	ARID/BRIGHT				
T04D1.4	chd-7	WBGene00007053	MYB				
C55B7.12	che-1	WBGene00000483	ZF - C2H2 - 4 fingers				
K10D2.3	cid-1	WBGene00019629	ZF - C2H2 - 1 finger				
C15C8.2	cky-1	WBGene00000521	bHLH				
C34E10.7	cnd-1	WBGene00000561	bHLH				
R03C1.3	cog-1	WBGene00000584	HD - NK				
Y41C4A.4	crh-1	WBGene00000793	bZIP				
C27D6.4	crh-2	WBGene00016162	bZIP				
F49E10.5	ctbp-1	WBGene00006424	ZF - THAP				
D1046.2	D1046.2	WBGene00008363	ZF - C2H2 - 1 finger				
D2030.7	D2030.7	WBGene00008417	ZF - C2H2 - 1 finger				
B0412.1	dac-1	WBGene00000895	WH - DAC				
F11A1.3	daf-12	WBGene00000908	ZF - NHR				
R13H8.1	daf-16	WBGene00000912	"WH - Fork Head, AT Hook"				
F33H1.1	daf-19	WBGene00000914	WH - RFX 				
F25E2.5	daf-3	WBGene00000899	MH1				
R05D11.1	daf-8	WBGene00000904	MH1				
Y116A8C.17	dct-13	WBGene00013794	ZF - CCCH - 2 domains				
F09B12.2	dhhc-1	WBGene00008606	ZF - DHHC 				
K02G10.1	dhhc-10	WBGene00019344	ZF - DHHC 				
T22E7.2	dhhc-11	WBGene00020694	ZF - DHHC 				
F59C6.2	dhhc-12	WBGene00010323	ZF - DHHC 				
H32C10.3	dhhc-13	WBGene00019257	ZF - DHHC 				
D2021.2	dhhc-14	WBGene00044071	ZF - DHHC 				
Y47H9C.2	dhhc-2	WBGene00012948	ZF - DHHC 				
F33D11.12	dhhc-3	WBGene00018009	ZF - DHHC 				
ZK757.4	dhhc-4	WBGene00014075	ZF - DHHC 				
R13F6.5	dhhc-5	WBGene00020066	ZF - DHHC 				
M18.8	dhhc-6	WBGene00010892	ZF - DHHC 				
C17D12.1	dhhc-7	WBGene00007637	ZF - DHHC 				
Y39E4B.7	dhhc-8	WBGene00012718	ZF - DHHC 				
