geneSym,geneID,refID,chrom,strand,Unsorted (RPM),Sorted (RPM),P-value,Group 1
Y22D7AR.10,175321,Y22D7AR.10,chrIII,-,2204.22,1088.32,0.00E+00,Unsorted
ZC395.10,175727,ZC395.10,chrIII,-,7656.60,3603.82,0.00E+00,Unsorted
F26E4.6,3565338,F26E4.6,chrI,+,5300.97,2474.31,0.00E+00,Unsorted
C07G2.1,175586,cpg-1,chrIII,+,4429.98,2061.36,0.00E+00,Unsorted
F26E4.9,172832,cco-1,chrI,+,2739.29,1272.82,0.00E+00,Unsorted
JC8.3,178279,rpl-12,chrIV,-,5299.57,2449.68,0.00E+00,Unsorted
F53A9.10,181119,tnt-2,chrX,-,2726.73,1215.71,0.00E+00,Unsorted
F57B1.4,179804,col-160,chrV,-,4524.03,2012.31,0.00E+00,Unsorted
F10E7.7,174166,rpl-33,chrII,+,3249.03,1409.98,0.00E+00,Unsorted
H02I12.1,178061,cbd-1,chrIV,+,2821.21,1088.75,0.00E+00,Unsorted
W03G11.1,181378,col-181,chrX,+,4400.97,1697.45,0.00E+00,Unsorted
F46B6.7,179375,ztf-7,chrV,-,2285.06,878.34,0.00E+00,Unsorted
W09C5.6,173235,rpl-31,chrI,-,14731.06,5491.93,0.00E+00,Unsorted
F11H8.3,175981,col-8,chrIII,-,2350.22,832.70,0.00E+00,Unsorted
C44B7.5,174124,C44B7.5,chrII,-,1452.81,508.07,0.00E+00,Unsorted
C27H5.5,174178,col-36,chrII,-,915.26,313.59,0.00E+00,Unsorted
ZK643.8,176265,grl-25,chrIII,+,11179.44,3751.17,0.00E+00,Unsorted
Y79H2A.1,176637,brp-1,chrIII,+,1528.35,508.49,0.00E+00,Unsorted
F56B3.1,176901,col-103,chrIV,-,873.38,290.02,0.00E+00,Unsorted
F27D9.5,181026,pcca-1,chrX,-,1629.98,535.88,0.00E+00,Unsorted
C49H3.11,177583,rps-2,chrIV,-,5669.91,1859.02,0.00E+00,Unsorted
K02F2.2,172408,K02F2.2,chrI,+,1023.48,312.10,0.00E+00,Unsorted
C44B12.5,176932,C44B12.5,chrIV,-,15709.31,4761.36,0.00E+00,Unsorted
C24F3.6,177901,col-124,chrIV,+,5397.08,1617.83,0.00E+00,Unsorted
D1054.11,179497,D1054.11,chrV,+,1541.77,440.98,0.00E+00,Unsorted
Y77E11A.15,176955,col-106,chrIV,-,688.31,195.12,0.00E+00,Unsorted
C35B8.1,181154,col-175,chrX,-,3553.35,1004.88,0.00E+00,Unsorted
F49E12.1,174340,peroxidase,chrII,-,716.02,201.91,0.00E+00,Unsorted
M18.1,178155,col-129,chrIV,-,1203.57,309.77,0.00E+00,Unsorted
T05B4.3,178812,phat-4,chrV,+,881.17,200.85,0.00E+00,Unsorted
F48E3.4,181006,F48E3.4,chrX,-,1788.20,391.08,0.00E+00,Unsorted
ZK1193.1,180397,col-19,chrX,+,3043.51,639.28,0.00E+00,Unsorted
T05A1.2,177789,col-122,chrIV,+,4627.92,970.06,0.00E+00,Unsorted
Y59A8A.3,180167,Y59A8A.3,chrV,-,1020.02,152.65,0.00E+00,Unsorted
F26F12.1,178971,col-140,chrV,-,1010.28,392.99,1.19E-303,Unsorted
Y37D8A.14,176707,cco-2,chrIII,+,907.90,334.82,1.03E-298,Unsorted
ZK721.2,181124,unc-27,chrX,+,1530.30,736.94,9.10E-294,Unsorted
Y48G8AL.8,171692,rpl-17,chrI,+,1310.50,595.33,3.51E-289,Unsorted
T09F3.3,174603,gpd-1,chrII,+,758.66,256.05,6.23E-286,Unsorted
C13G3.3,179526,pptr-2,chrV,-,898.27,351.80,5.96E-267,Unsorted
K02D7.3,176854,col-101,chrIV,-,927.27,375.16,9.21E-260,Unsorted
C03G5.1,181108,sdha-1,chrX,-,393.94,79.19,5.46E-258,Unsorted
Y69H2.14,180218,Y69H2.14,chrV,+,597.62,185.77,3.67E-252,Unsorted
T07A9.6,176869,daf-18,chrIV,-,784.85,294.27,1.35E-251,Unsorted
T28C6.6,177695,col-3,chrIV,+,1074.78,499.79,5.01E-225,Unsorted
T27A3.4,172293,T27A3.4,chrI,+,553.35,180.47,3.26E-219,Unsorted
T21B10.2,174423,enol-1,chrII,+,687.01,263.48,4.17E-212,Unsorted
Y48G8AL.12,171698,Y48G8AL.12,chrI,-,397.73,105.52,2.16E-202,Unsorted
T15B7.3,179073,col-143,chrV,+,420.78,118.26,5.36E-201,Unsorted
R08C7.3,177212,htz-1,chrIV,+,768.94,325.69,1.44E-197,Unsorted
M03C11.4,176458,tag-235,chrIII,-,214.94,27.18,1.91E-188,Unsorted
R07G3.5,174231,R07G3.5,chrII,-,707.58,296.18,3.48E-186,Unsorted
C53A5.3,179959,hda-1,chrV,+,596.00,228.66,3.45E-184,Unsorted
